x1,x2,class
5.458514299349786,8.58856610591359,0.0
6.858925865665792,3.315918210134342,0.0
0.5999792956061789,3.8627778104270893,0.0
2.1314985868435565,9.325066500813602,0.0
7.228182988558621,0.468953066683796,0.0
8.213108493844977,5.918694992908618,0.0
2.5207150838923953,3.1507669038981057,0.0
1.8783802225914759,3.5031990704705915,0.0
2.5724281189423115,0.11114115323251905,0.0
4.095885098684472,4.122544515259676,0.0
0.43188770896432027,9.550087934287223,0.0
3.976772847734955,5.296583896437664,0.0
2.328129126615164,3.0860495251210995,0.0
5.5197783922675425,7.084756290087436,0.0
9.534245531975767,6.019248072519402,0.0
14.022515699464202,13.54930199539355,1.0
18.141634903058474,12.976418591805718,1.0
15.446143249571904,19.630822160313755,1.0
11.833954754651208,17.279973382529032,1.0
17.332400648741128,10.461399785589261,1.0
19.695863937729396,13.705435432006103,1.0
17.069442375214333,12.739307015983293,1.0
12.49045064855544,13.049723799908493,1.0
11.388519886060555,19.751148544073626,1.0
10.08411904363797,18.94471800643091,1.0
13.5420418023011,19.27035335680679,1.0
14.004876677122972,14.684511904065932,1.0
14.474472108776345,19.084243727711836,1.0
16.422962762677447,12.398039474188604,1.0
16.763390832394034,14.29182324063979,1.0
